EmpID,PerfScoreID,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
10212,3,Fully Meets,3.1,5,8,2/12/2019,0,19
10056,3,Fully Meets,5.0,3,0,2/25/2019,0,1
10143,3,Fully Meets,3.96,4,0,2/27/2019,0,6
10311,1,Fully Meets,4.3,4,3,1/31/2019,2,2
10070,3,Fully Meets,5.0,4,0,4/2/2016,0,14
10155,3,Fully Meets,3.79,5,5,1/25/2019,0,8
10306,1,PIP,1.93,3,0,1/30/2019,6,5
10100,3,Fully Meets,4.62,5,0,5/6/2015,0,1
10310,1,PIP,1.12,2,0,1/31/2019,4,9
10197,3,Fully Meets,3.01,5,7,1/23/2019,0,15
10276,3,Fully Meets,4.3,4,0,2/19/2019,0,1
10304,1,PIP,2.3,1,0,1/29/2019,2,17
10284,2,Needs Improvement,3.88,4,0,1/18/2019,0,6
10207,3,Fully Meets,3.4,5,0,2/19/2019,0,15
10133,3,Fully Meets,4.11,4,6,2/25/2019,0,16
10028,4,Exceeds,4.3,5,5,1/4/2019,0,4
10006,4,Exceeds,4.77,5,0,1/27/2019,0,14
10105,3,Fully Meets,4.52,4,0,1/15/2019,0,4
10211,3,Fully Meets,2.9,3,0,1/21/2019,0,6
10064,3,Fully Meets,5.0,3,0,4/9/2017,0,7
10247,3,Fully Meets,4.7,5,0,2/13/2019,0,8
10235,3,Fully Meets,4.2,3,0,1/11/2019,0,3
10299,1,PIP,3.0,1,0,2/25/2019,2,5
10280,2,Needs Improvement,5.0,4,0,4/12/2018,5,16
10296,2,Needs Improvement,2.3,3,0,1/15/2017,5,19
10290,2,Needs Improvement,2.1,5,4,8/10/2012,4,19
10263,3,Fully Meets,4.4,5,0,2/22/2019,0,17
10136,3,Fully Meets,4.0,4,0,1/7/2019,0,7
10189,3,Fully Meets,3.13,3,0,2/4/2016,0,16
10308,1,PIP,1.56,5,0,1/3/2019,6,15
10309,1,PIP,1.2,3,6,2/4/2019,3,2
10049,3,Fully Meets,5.0,5,0,1/29/2019,0,19
10093,3,Fully Meets,4.76,5,0,4/5/2013,0,20
10163,3,Fully Meets,3.66,3,0,1/7/2012,0,6
10305,3,PIP,2.0,5,0,1/28/2019,4,7
10015,4,Exceeds,5.0,5,5,1/7/2019,0,15
10080,3,Fully Meets,5.0,3,2,2/8/2019,0,3
10258,3,Fully Meets,4.3,3,0,1/27/2019,2,7
10273,3,Fully Meets,4.7,4,5,2/1/2019,0,1
10111,3,Fully Meets,4.5,3,0,2/18/2019,0,5
10257,3,Fully Meets,4.2,4,0,2/26/2019,0,12
10159,3,Fully Meets,3.73,3,0,1/16/2019,0,19
10122,3,Fully Meets,4.24,4,0,4/29/2016,0,2
10142,3,Fully Meets,3.97,4,0,1/15/2014,0,7
10283,2,Needs Improvement,3.97,4,0,1/20/2015,3,15
10018,4,Exceeds,3.9,4,0,2/7/2019,0,3
10255,3,Fully Meets,4.5,5,0,1/25/2019,0,20
10246,3,Fully Meets,4.6,4,4,1/20/2015,0,10
10228,3,Fully Meets,4.3,5,7,1/10/2019,0,20
10243,3,Fully Meets,4.3,5,0,2/18/2019,0,7
10031,4,Exceeds,4.5,4,0,2/18/2019,0,1
10300,1,PIP,3.0,3,0,3/6/2011,3,10
10101,3,Fully Meets,4.61,4,5,1/28/2019,0,11
10237,3,Fully Meets,4.6,3,0,2/7/2019,0,20
10051,3,Fully Meets,5.0,3,0,1/14/2019,0,2
10218,3,Fully Meets,4.4,5,0,2/21/2019,0,1
10256,3,Fully Meets,4.1,5,0,2/15/2019,0,3
10098,3,Fully Meets,4.63,3,0,1/4/2019,0,2
10059,3,Fully Meets,5.0,5,0,6/3/2013,0,17
10234,3,Fully Meets,4.2,5,5,1/28/2019,0,8
10109,3,Fully Meets,4.5,5,0,2/1/2013,0,20
10125,3,Fully Meets,4.2,4,0,2/22/2019,0,13
10074,3,Fully Meets,5.0,3,0,1/8/2019,0,20
10097,3,Fully Meets,4.64,4,0,5/2/2015,0,8
10007,4,Exceeds,4.76,4,0,2/15/2019,0,5
10129,3,Fully Meets,4.17,4,0,2/11/2019,0,1
10075,3,Fully Meets,5.0,3,0,1/30/2013,0,15
10167,3,Fully Meets,3.6,5,0,1/30/2019,0,9
10195,3,Fully Meets,3.03,5,0,3/5/2012,0,16
10112,3,Fully Meets,4.48,5,6,1/3/2019,0,4
10272,3,Fully Meets,4.5,4,0,1/21/2019,0,19
10182,3,Fully Meets,3.24,3,4,4/15/2015,0,6
10248,3,Fully Meets,4.8,4,0,1/7/2019,0,4
10201,3,Fully Meets,3.0,5,0,1/18/2019,0,4
10214,3,Fully Meets,4.5,3,0,2/14/2019,0,6
10160,3,Fully Meets,3.72,3,0,2/1/2013,0,18
10289,2,Needs Improvement,2.34,2,0,4/12/2012,3,4
10139,3,Fully Meets,3.99,3,0,1/14/2019,0,14
10227,3,Fully Meets,4.1,3,0,1/17/2019,0,7
10236,3,Fully Meets,4.3,5,0,2/22/2019,0,7
10009,4,Exceeds,4.6,4,0,2/25/2019,0,11
10060,3,Fully Meets,5.0,5,0,1/21/2019,0,9
10034,4,Exceeds,4.7,4,0,2/14/2018,0,9
10156,3,Fully Meets,3.75,3,5,2/11/2019,0,2
10036,4,Exceeds,4.3,3,0,1/11/2019,0,1
10138,3,Fully Meets,4.0,4,0,2/3/2016,0,4
10244,3,Fully Meets,4.5,5,0,3/30/2013,0,2
10192,3,Fully Meets,3.07,4,0,1/23/2019,0,10
10231,3,Fully Meets,4.3,5,0,1/22/2019,0,13
10089,3,Fully Meets,4.83,3,0,1/17/2019,0,10
10166,3,Fully Meets,3.6,5,0,3/1/2015,0,16
10170,3,Fully Meets,3.49,4,0,1/30/2013,0,6
10208,3,Fully Meets,3.1,3,0,2/6/2019,0,3
10176,3,Fully Meets,3.38,3,0,1/21/2019,0,17
10165,3,Fully Meets,3.65,5,0,1/17/2019,0,20
10113,3,Fully Meets,4.46,5,6,1/7/2019,0,7
10092,3,Fully Meets,4.78,4,0,2/15/2015,0,9
10106,3,Fully Meets,4.52,3,0,2/20/2014,0,20
10052,3,Fully Meets,5.0,5,0,2/4/2019,0,13
10038,3,Fully Meets,5.0,4,4,1/17/2019,0,3
10249,3,Fully Meets,4.9,3,0,2/20/2013,0,20
10232,3,Fully Meets,4.1,5,7,1/8/2019,0,2
10087,3,Fully Meets,4.88,3,0,7/2/2017,0,17
10134,3,Fully Meets,4.1,4,0,1/28/2019,0,20
10251,3,Fully Meets,4.1,3,0,2/22/2019,0,10
10103,3,Fully Meets,4.53,3,0,1/29/2019,0,16
10017,4,Exceeds,4.1,3,0,1/21/2019,0,11
10186,3,Fully Meets,3.18,4,0,3/2/2018,0,16
10137,3,Fully Meets,4.0,3,0,2/18/2019,0,7
10008,4,Exceeds,4.64,4,5,1/25/2019,0,14
10096,3,Fully Meets,4.65,4,0,6/10/2016,0,15
10035,4,Exceeds,4.2,4,0,2/12/2019,0,19
10057,3,Fully Meets,5.0,3,0,1/23/2019,0,6
10004,4,Exceeds,5.0,4,0,2/2/2015,0,17
10191,3,Fully Meets,3.08,4,0,4/1/2017,0,18
10219,3,Fully Meets,4.6,4,0,2/26/2019,0,14
10077,3,Fully Meets,5.0,3,0,1/21/2019,0,4
10073,3,Fully Meets,5.0,4,0,7/2/2012,0,16
10279,3,Fully Meets,4.1,3,0,1/22/2019,0,11
10110,3,Fully Meets,4.5,5,4,1/14/2019,0,14
10053,3,Fully Meets,5.0,4,0,1/10/2019,0,8
10076,3,Fully Meets,5.0,5,0,2/7/2019,0,16
10145,3,Fully Meets,3.93,3,0,1/30/2019,0,20
10202,3,Fully Meets,3.4,4,0,1/29/2019,0,7
10128,3,Fully Meets,4.18,4,0,2/5/2016,0,17
10068,3,Fully Meets,5.0,4,0,1/21/2019,0,10
10116,3,Fully Meets,4.37,3,0,1/14/2019,0,2
10298,1,PIP,3.0,2,0,1/14/2013,6,6
10213,3,Fully Meets,3.7,3,0,1/8/2019,0,14
10288,2,Needs Improvement,2.39,3,6,2/22/2019,4,13
10025,4,Exceeds,4.7,3,0,1/14/2019,0,1
10223,3,Fully Meets,4.1,4,0,1/31/2019,0,12
10151,3,Fully Meets,3.81,3,6,2/11/2019,0,6
10254,3,Fully Meets,4.4,4,0,1/17/2019,0,18
10120,3,Fully Meets,4.29,5,0,1/28/2019,0,11
10216,3,Fully Meets,4.1,4,0,1/22/2019,0,13
10079,3,Fully Meets,5.0,3,6,2/25/2019,0,17
10215,3,Fully Meets,4.3,3,0,3/2/2013,0,19
10185,3,Fully Meets,3.18,3,0,3/6/2016,0,10
10063,3,Fully Meets,5.0,5,0,2/18/2019,0,11
10037,4,Exceeds,4.0,3,0,2/13/2019,0,12
10042,3,Fully Meets,5.0,5,0,1/25/2019,0,2
10206,3,Fully Meets,3.6,5,0,1/2/2019,0,4
10104,3,Fully Meets,4.53,5,0,1/16/2019,0,5
10303,1,PIP,2.33,2,0,3/9/2018,6,3
10078,3,Fully Meets,5.0,3,0,7/2/2013,0,17
10121,3,Fully Meets,4.28,3,0,1/25/2019,0,1
10021,4,Exceeds,5.0,3,0,2/7/2019,0,13
10281,2,Needs Improvement,4.25,3,0,2/4/2019,4,6
10041,3,Fully Meets,5.0,5,0,1/14/2019,0,18
10148,3,Fully Meets,3.89,4,0,3/4/2013,0,7
10005,4,Exceeds,5.0,5,3,8/16/2015,0,13
10259,3,Fully Meets,4.7,4,5,1/16/2016,0,19
10286,2,Needs Improvement,3.54,5,0,4/6/2017,4,15
10297,2,Needs Improvement,2.4,5,0,2/6/2015,5,2
10171,3,Fully Meets,3.45,4,0,5/13/2014,0,5
10032,4,Exceeds,4.2,5,0,1/10/2013,0,12
10130,3,Fully Meets,4.16,5,0,3/5/2015,0,6
10217,3,Fully Meets,4.3,3,0,1/14/2019,0,14
10016,4,Exceeds,4.6,5,7,1/4/2019,0,16
10050,3,Fully Meets,5.0,3,0,2/20/2012,0,13
10164,3,Fully Meets,3.66,3,0,2/25/2019,0,15
10124,3,Fully Meets,4.2,5,0,2/1/2019,0,9
10187,3,Fully Meets,3.17,4,0,4/2/2018,0,14
10225,3,Fully Meets,4.8,3,0,1/7/2019,0,14
10262,3,Fully Meets,4.5,5,0,4/2/2013,0,16
10131,3,Fully Meets,4.15,4,0,4/19/2014,0,4
10239,3,Fully Meets,4.4,4,6,2/6/2019,0,10
10152,3,Fully Meets,3.8,5,0,2/4/2018,0,19
10140,3,Fully Meets,3.98,3,0,1/28/2019,0,4
10058,3,Fully Meets,5.0,4,0,3/30/2015,0,11
10011,4,Exceeds,4.36,5,0,2/11/2019,0,16
10230,3,Fully Meets,4.5,4,0,10/22/2011,0,10
10224,3,Fully Meets,4.2,5,0,1/6/2012,0,13
10047,3,Fully Meets,5.0,3,0,1/10/2015,0,11
10285,2,Needs Improvement,3.6,3,0,4/5/2016,4,16
10020,4,Exceeds,3.6,5,0,2/11/2019,0,4
10162,3,Fully Meets,3.69,5,6,2/14/2019,0,15
10149,3,Fully Meets,3.88,3,7,2/13/2018,0,12
10086,3,Fully Meets,4.94,3,5,2/6/2019,0,17
10054,3,Fully Meets,5.0,4,0,1/31/2019,0,8
10065,3,Fully Meets,5.0,5,0,7/2/2018,0,4
10198,3,Fully Meets,3.6,5,7,2/18/2019,0,13
10222,3,Fully Meets,4.3,4,6,1/4/2015,0,8
10126,3,Fully Meets,4.2,3,6,2/13/2019,0,2
10295,2,Needs Improvement,2.6,4,0,2/18/2019,5,4
10260,3,Fully Meets,4.6,5,0,2/5/2018,0,7
10233,3,Fully Meets,4.1,3,0,1/10/2019,0,13
10229,3,Fully Meets,4.2,3,5,4/20/2015,0,2
10169,3,Fully Meets,3.51,3,0,2/18/2019,0,2
10071,3,Fully Meets,5.0,5,0,2/6/2019,0,14
10179,3,Fully Meets,3.31,3,6,1/7/2019,0,7
10091,3,Fully Meets,4.81,4,0,2/15/2019,0,15
10178,3,Fully Meets,3.32,3,7,1/14/2019,0,16
10039,3,Fully Meets,5.0,3,5,1/15/2019,0,2
10095,3,Fully Meets,4.68,4,0,4/2/2015,0,20
10027,4,Exceeds,4.3,3,0,1/28/2019,0,4
10291,2,Needs Improvement,2.4,4,0,1/16/2019,2,16
10153,3,Fully Meets,3.8,4,4,8/15/2013,0,17
10157,3,Fully Meets,3.73,3,0,1/24/2019,0,16
10119,3,Fully Meets,4.3,3,5,2/8/2019,0,19
10180,3,Fully Meets,3.27,4,5,1/14/2019,0,13
10302,1,PIP,2.4,2,1,2/25/2019,6,20
10090,3,Fully Meets,4.83,5,0,2/14/2019,0,15
10030,4,Exceeds,4.1,4,0,3/2/2015,0,16
10278,3,Fully Meets,4.1,4,0,2/7/2019,0,9
10307,1,PIP,1.81,2,0,1/17/2019,3,5
10147,3,Fully Meets,3.9,5,5,1/18/2019,0,9
10266,3,Fully Meets,4.7,3,0,1/11/2019,0,4
10241,3,Fully Meets,4.1,4,0,1/31/2019,0,18
10158,3,Fully Meets,3.73,4,0,1/24/2019,0,12
10117,3,Fully Meets,4.36,5,0,1/24/2019,0,10
10209,3,Fully Meets,3.4,5,0,1/31/2019,0,13
10024,4,Exceeds,4.5,5,5,2/18/2019,0,1
10173,3,Fully Meets,3.4,3,6,1/2/2019,0,14
10221,3,Fully Meets,4.5,5,0,2/15/2012,0,11
10146,3,Fully Meets,3.93,3,0,4/18/2017,0,3
10161,3,Fully Meets,3.69,3,0,1/28/2019,0,18
10141,3,Fully Meets,3.98,4,0,3/2/2016,0,1
10268,3,Fully Meets,4.1,4,0,7/14/2010,0,15
10123,3,Fully Meets,4.21,5,0,1/14/2019,0,4
10013,4,Exceeds,4.1,3,0,1/4/2019,0,6
10287,2,Needs Improvement,2.44,5,0,2/11/2019,4,18
10044,3,Fully Meets,5.0,3,5,4/15/2015,0,11
10102,3,Fully Meets,4.6,3,4,2/12/2017,0,9
10270,3,Fully Meets,4.4,3,0,1/5/2014,0,5
10045,3,Fully Meets,5.0,4,7,1/14/2019,0,8
10205,3,Fully Meets,2.81,3,0,1/17/2019,0,16
10014,4,Exceeds,4.5,5,0,2/1/2016,0,15
10144,3,Fully Meets,3.93,3,0,2/27/2019,0,19
10253,3,Fully Meets,4.5,4,0,1/18/2019,0,11
10118,3,Fully Meets,4.33,3,7,2/15/2017,0,9
10022,4,Exceeds,4.3,5,0,2/1/2015,0,18
10183,3,Fully Meets,3.21,3,0,1/29/2019,0,7
10190,3,Fully Meets,3.11,5,0,2/12/2019,0,4
10274,3,Fully Meets,4.5,3,0,1/2/2012,0,5
10293,2,Needs Improvement,2.5,3,0,9/5/2014,6,13
10172,3,Fully Meets,3.42,4,7,1/4/2019,0,17
10127,3,Fully Meets,4.2,4,8,2/5/2019,0,7
10072,3,Fully Meets,5.0,5,0,5/15/2014,0,11
10048,3,Fully Meets,5.0,3,0,2/15/2015,0,7
10204,3,Fully Meets,3.6,5,0,2/6/2011,0,9
10264,3,Fully Meets,4.3,4,0,6/2/2014,0,16
10033,4,Exceeds,5.0,3,0,1/19/2016,0,7
10174,3,Fully Meets,3.4,4,0,2/21/2019,0,14
10135,3,Fully Meets,4.07,4,0,2/28/2019,0,13
10301,1,PIP,3.2,2,0,9/2/2015,5,4
10010,4,Exceeds,4.6,5,6,2/21/2019,0,16
10043,3,Fully Meets,5.0,3,5,2/1/2019,0,11
10271,3,Fully Meets,4.5,5,0,1/30/2019,0,2
